genre,x,y,hex_colour
baltic classical piano,508,136,#17a9d4
baltic folk,680,9300,#73974c
baltic post-punk,520,14914,#ae8246
baltimore hip hop,1095,14511,#9e9103
baltimore indie,438,9924,#9a854d
baluchi folk,923,9402,#bc7318
band organ,533,5484,#609b84
banda,988,9515,#948b0b
banda caliente,1033,9178,#9d8b03
banda carnavalera,978,8850,#938b19
banda jalisciense,1022,9003,#98860c
bandinhas,933,14916,#d17b05
bandolim,986,6376,#87987b
bandoneon,633,2209,#50996d
bangalore indie,646,11312,#938e3a
bangla pop,760,9360,#849408
bangladeshi hip hop,1035,11738,#9d8d0b
bangladeshi indie,646,11704,#908927
bangladeshi rock,576,13004,#ad7b12
banjo,893,5358,#6f9231
bansuri,561,2652,#53a095
baps,872,5243,#689106
baptist gospel,349,3980,#4d9e15
barbadian pop,951,16835,#bb850c
barbershop,520,5016,#4e8d12
bard,889,4687,#5d910e
bardcore,767,14735,#7a99b0
barnalog,1016,7388,#6e8a08
barnasogur,1111,5319,#528809
barnemusikk,972,7538,#5f920d
barnmusik,1065,7010,#5f8f22
barnsagor,1310,5167,#4b7202
barockinterpreten,347,2007,#29a157
baroque,391,1855,#2ba476
baroque brass,482,1401,#28a4ca
baroque cello,330,1439,#1ca77d
baroque ensemble,385,1919,#24a13e
baroque pop,547,8090,#898723
baroque singing,375,2412,#10b28f
baroque violin,438,2108,#22a639
baroque woodwind,444,1668,#1fa663
barrelhouse piano,1080,1931,#4f915c
basel indie,467,12514,#a87e3d
basque folk,788,6239,#689c21
bass house,1190,18225,#cf7a6e
bass music,935,16316,#a98a9b
bass trap,832,16911,#c18745
bass trip,949,12488,#948647
basshall,1111,16038,#bc8c16
bassline,1056,17619,#c67d4a
batak,545,13127,#9d9010
bath indie,489,8791,#948129
batida,1225,17365,#c17d51
batidao romantico,1185,15052,#a99607
baton rouge indie,459,9624,#9b8226
baton rouge rap,1113,15317,#a28e04
battle rap,984,10462,#b87404
bay area hip hop,1084,14232,#a88409
bay area indie,478,9079,#a27d3a
bayerischer rap,1111,12912,#a5821b
bboy,1082,17127,#c07b5d
bc underground hip hop,1033,12263,#a48609
beach house,947,15596,#9d9fa9
beach music,744,9473,#92810e
beat italiano,484,8224,#90860c
beat poetry,1013,3233,#477b16
beatboxing,1045,15229,#ad7d2b
beatdown,427,11754,#d75a28
beatlesque,491,8841,#a07b1a
beats,1190,18300,#8a99b3
bebop,921,3007,#56916d
bedroom pop,692,10120,#7a9431
bedroom soul,939,10548,#74980f
